molecule_chembl_id,canonical_smiles,standard_type,standard_relation,standard_value,standard_units
CHEMBL8706,C#CCN(C)CCCOc1ccc(Cl)cc1Cl,IC50,=,4.5,nM
CHEMBL139679,O=C(/C=C/c1ccc(Cl)cc1)c1ccc(O)cc1O,IC50,=,4950.0,nM
CHEMBL92401,CC(C)NNC(=O)c1ccncc1,IC50,=,6560.0,nM
CHEMBL972,C#CCN(C)[C@H](C)Cc1ccccc1,IC50,=,67250.0,nM
CHEMBL86304,O=C(NCCN1CCOCC1)c1ccc(Cl)cc1,IC50,=,361380.0,nM
CHEMBL450771,CC(C)=CCOc1ccc(C(=O)/C=C/c2ccccc2)c(O)c1,IC50,,,
CHEMBL491888,CC(C)=CCOc1ccc(C(=O)/C=C/c2ccc(C)cc2)c(O)c1,IC50,,,
CHEMBL523655,COc1ccc(/C=C/C(=O)c2ccc(OCC=C(C)C)cc2O)cc1,IC50,,,
CHEMBL489717,CC(C)=CCOc1ccc(C(=O)/C=C/c2ccc(OCc3ccccc3)cc2)c(O)c1,IC50,,,
CHEMBL489718,CC(C)=CCOc1ccc(C(=O)/C=C/c2ccc(Cl)cc2)c(O)c1,IC50,,,
CHEMBL523610,O=C(/C=C/c1ccc(Cl)cc1)c1ccc(OCc2ccccc2)cc1,IC50,,,
CHEMBL489719,COc1ccc(C(=O)/C=C/c2ccc(Cl)cc2)cc1,IC50,,,
CHEMBL489720,COc1ccc(C(=O)/C=C/c2ccc(OCc3ccccc3)cc2)cc1,IC50,,,
CHEMBL7976,O=C(/C=C/c1ccccc1)c1ccccc1,IC50,,,
